Com1,Com2
-54.620842,-27.624111
-81.16056,50.370495
-9.880426,-28.656006
-52.614063,76.876625
9.771361,-11.495046
20.35835,-98.957794
37.55735,-52.778507
-10.87922,12.075732
-6.225467,-24.133738
-24.354395,-56.709263
-16.542227,-100.56962
-98.39704,-21.730637
-39.36427,-7.150384
-52.896305,-26.568441
45.865433,-24.413923
-22.009577,87.87869
-42.70703,-78.12955
71.01221,-64.55502
5.7172775,27.492884
-23.345638,-1.1867801
80.85837,-34.601772
24.921745,-6.3434534
-45.034283,-55.1685
38.56963,-59.588497
0.5809502,-66.52823
44.704166,9.235973
-12.95013,-29.643888
46.15302,-24.451054
-31.211857,67.305595
39.375275,26.779545
-90.921974,-6.6183305
-20.33921,-24.882063
-22.20906,75.40681
-17.959917,-23.421913
-17.068798,-41.946598
-82.36331,-41.852905
66.11673,-12.893014
-12.8666725,-80.26511
-56.708218,-30.846046
-43.26223,11.96141
-3.062947,83.309044
74.58378,-33.921875
-47.96141,-42.563778
36.280643,47.597214
-16.380093,-100.93355
49.160168,9.06182
-26.315897,-2.1922207
38.91736,-51.679382
38.8207,79.307365
74.47627,-36.019783
81.999214,20.721401
-29.221174,43.83553
-49.797626,43.439278
-17.15287,17.579933
-29.131987,-15.660805
-67.44142,-71.05154
82.828445,-35.245888
85.330315,12.104722
-62.692764,-6.9002953
-18.490507,-33.38926
61.254646,55.689804
22.731876,30.231516
-58.92235,24.027983
56.936306,37.626347
-65.768456,-68.44602
-43.19318,-22.839846
31.18767,90.238914
-10.879392,12.082102
-76.9844,-35.24071
-8.758618,32.77118
6.0965996,1.6853695
-11.799322,67.40934
21.954344,61.47174
-16.10507,-35.370815
-6.000043,99.06651
-17.610638,19.769962
16.626663,22.851494
31.265604,-33.916725
-7.7675867,-20.102869
9.294646,-15.828694
-55.585014,71.83981
41.08036,-17.43218
-11.45616,64.48427
2.519834,24.381985
45.551212,-24.369087
18.044542,55.17604
-69.49188,-16.615946
-22.769579,-4.3432446
7.1457357,53.644337
80.12031,-16.43071
-43.799095,-54.607716
-81.14029,50.39041
-46.10503,9.638057
23.14408,-49.093655
16.48898,4.9426556
-51.720722,77.49866
-68.518105,8.968224
69.08837,-14.524564
-52.086723,25.816826
-1.3183675,4.6578693
-22.830563,48.93607
-31.914906,88.08381
65.1679,-54.16767
-42.442856,25.667732
15.492951,-41.086796
-89.18088,-7.334335
-85.29107,13.265118
38.85926,60.71439
-54.49342,-34.76014
-21.955742,-41.062
9.643371,-69.15832
76.599266,-36.978813
41.451332,86.02832
-41.50653,-14.820832
90.88299,-9.612481
41.83848,22.894691
70.63891,-63.345078
-17.915361,-23.390522
76.08413,-32.612362
68.79565,44.302868
-6.2463007,97.546524
59.282803,-37.12125
21.11543,55.49793
